Time	WaterLevel_cm
2012060911	0.070410
2012060912	0.070410
2012060913	0.070410
2012060914	0.070410
2012060915	0.070410
2012060916	0.070410
2012060917	0.070410
2012060918	0.070410
2012060919	0.070410
2012060920	0.070410
2012060921	0.070410
2012060922	0.070410
2012060923	0.070410
2012061000	0.070410
2012061001	0.070410
2012061002	0.070410
2012061003	0.070410
2012061004	0.070410
2012061005	0.070410
2012061006	0.070410
2012061007	0.070410
2012061008	0.070410
2012061010	0.070410
2012061011	0.070410
2012061012	0.070410
2012061013	0.070410
2012061014	0.070410
2012061015	0.070410
2012061016	0.070410
2012061017	0.070410
2012061018	0.070410
2012061019	0.070410
2012061020	0.070410
2012061021	0.070410
2012061022	0.070410
2012061023	0.070410
2012061100	0.070410
2012061101	0.070410
2012061102	0.070410
2012061103	0.070410
2012061104	0.070410
2012061105	0.070410
2012061106	0.070410
2012061107	0.070410
2012061108	0.070410
2012061110	0.070410
2012061117	0.070410
2012061118	0.070410
2012061119	0.070410
2012061120	0.070410
2012061121	0.070410
2012061122	0.070410
2012061123	0.070410
2012061200	0.070410
2012061201	0.070410
2012061202	0.070410
2012061203	0.070410
2012061204	0.070410
2012061205	0.070410
2012061206	0.070410
2012061207	0.070410
2012061208	0.070410
2012061209	0.070410
2012061210	0.070410
2012061218	0.070410
2012061219	0.070410
2012061220	0.070410
2012061221	0.070410
2012061300	0.070410
2012061301	0.070410
2012061302	0.070410
2012061303	0.070410
2012061304	0.070410
2012061305	0.070410
2012061306	0.070410
2012061307	0.070410
2012061308	0.070410
2012061310	0.070410
2012061311	0.070410
2012061312	0.070410
2012061313	0.070410
2012061314	0.070410
2012061317	0.070410
2012061318	0.070410
2012061319	0.070410
2012061320	0.070410
2012061321	0.070410
2012061322	0.070410
2012061323	0.070410
2012061400	0.070410
2012061401	0.070410
2012061402	0.070410
2012061403	0.070410
2012061404	0.070410
2012061405	0.070410
2012061406	0.070410
2012061407	0.070410
2012061408	0.070410
2012061409	0.070410
2012061410	0.070410
2012061411	0.070410
2012061417	0.070410
2012061418	0.070410
2012061419	0.070410
2012061420	0.070410
2012061421	0.070410
2012061422	0.070410
2012061423	0.070410
2012061500	0.070410
2012061501	0.070410
2012061502	0.070410
2012061503	0.070410
2012061505	0.070410
2012061506	0.070410
2012061507	0.070410
2012061508	0.070410
2012061510	0.070410
2012061511	0.070410
2012061517	0.070410
2012061518	0.070410
2012061519	0.070410
2012061520	0.070410
2012061521	0.070410
2012061522	0.070410
2012061523	0.070410
2012061600	0.070410
2012061601	0.070410
2012061602	0.070410
2012061603	0.070410
2012061604	0.070410
2012061605	0.070410
2012061606	0.070410
2012061607	0.070410
2012061608	0.070410
2012061610	0.070410
2012061614	0.070410
2012061615	0.070410
2012061616	0.070410
2012061617	0.070410
2012061618	0.070410
2012061619	0.070410
2012061620	0.070410
2012061621	0.070410
2012061622	0.070410
2012061623	0.070410
2012061700	0.070410
2012061701	0.070410
2012061702	0.070410
2012061703	0.070410
2012061704	0.070410
2012061705	0.070410
2012061706	0.070410
2012061707	0.070410
2012061708	0.070410
2012061709	0.070410
2012061710	0.070410
2012061722	0.070410
2012061723	0.070410
2012061800	0.070410
2012061801	0.070410
2012061802	0.070410
2012061803	0.070410
2012061804	0.070410
2012061805	0.070410
2012061806	0.070410
2012061807	0.070410
2012061808	0.070410
2012061809	0.070410
2012061810	0.070410
2012061811	0.070410
2012061812	0.070410
2012061813	0.070410
2012061814	0.070410
2012061815	0.070410
2012061816	0.070410
2012061817	0.070410
2012061818	0.070410
2012061819	0.070410
2012061820	0.070410
2012061821	0.070410
2012061822	0.070410
2012061823	0.070410
2012061900	0.070410
2012061901	0.070410
2012061902	0.070410
2012061903	0.070410
2012061904	0.070410
2012061905	0.070410
2012061906	0.070410
2012061907	0.070410
2012061908	0.070410
2012061910	0.070410
2012061911	0.070410
2012061912	0.070410
2012061913	0.070410
2012061914	0.070410
2012061915	0.070410
2012061916	0.070410
2012061917	0.070410
2012061918	0.070410
2012061919	0.070410
2012061920	0.070410
2012061921	0.070410
2012061922	0.070410
2012061923	0.070410
2012062000	0.070410
2012062001	0.070410
2012062002	0.070410
2012062003	0.070410
2012062004	0.070410
2012062005	0.070410
2012062006	0.070410
2012062007	0.070410
2012062008	0.070410
2012062010	0.070410
2012062011	0.070410
2012062012	0.070410
2012062013	0.070410
2012062014	0.070410
2012062016	0.070410
2012062017	0.070410
2012062018	0.070410
2012062019	0.070410
2012062020	0.070410
2012062021	0.070410
2012062022	0.070410
2012062023	0.070410
2012062100	0.070410
2012062101	0.070410
2012062102	0.070410
2012062103	0.070410
2012062104	0.070410
2012062105	0.070410
2012062106	0.070410
2012062107	0.070410
2012062108	0.070410
2012062109	0.070410
2012062110	0.070410
2012062111	0.070410
2012062112	0.070410
2012062113	0.070410
2012062114	0.070410
2012062122	0.070410
2012062204	0.070410
2012062207	0.070410
2012062208	0.070410
2012062209	0.070410
2012062210	0.070410
2012062211	0.070410
2012062212	0.070410
2012062213	0.070410
2012062214	0.070410
2012062215	0.070410
2012062216	0.070410
2012062217	0.070410
2012062218	0.070410
2012062219	0.070410
2012062220	0.070410
2012062221	0.070410
2012062222	0.070410
2012062223	0.070410
2012062300	0.070410
2012062301	0.070410
2012062302	0.070410
2012062303	0.070410
2012062304	0.070410
2012062305	0.070410
2012062611	0.070410
2012062612	0.070410
2012062613	0.070410
2012062614	0.070410
2012062615	0.070410
2012062616	0.070410
2012062617	0.070410
2012062618	0.070410
2012062619	0.070410
2012062620	0.070410
2012062621	0.070410
2012062622	0.070410
2012062623	0.070410
2012062700	0.070410
2012062701	0.070410
2012062702	0.070410
2012062703	0.070410
2012062704	0.070410
2012062705	0.070410
2012062706	0.070410
2012062707	0.070410
2012062708	0.070410
2012062710	0.070410
2012062711	0.070410
2012062712	0.070410
2012062713	0.070410
2012062714	0.070410
2012062715	0.070410
2012062716	0.070410
2012062717	0.070410
2012062718	0.070410
2012062719	0.070410
2012062720	0.070410
2012062721	0.070410
2012062722	0.070410
2012062723	0.070410
2012062800	0.070410
2012062801	0.070410
2012062802	0.070410
2012062803	0.070410
2012062804	0.070410
2012062805	0.070410
2012062806	0.070410
2012062807	0.070410
2012062808	0.070410
2012062809	0.070410
2012062810	0.070410
2012062811	0.140820
2012062812	0.140820
2012062813	0.140820
2012062814	0.070410
2012062815	0.140820
2012062816	0.140820
2012062817	0.070410
